Date,Price,Day,30D
2026-07-07,0.51,·0.000(0.00%),▼-0.480(-48.48%)
2026-07-08,0.51,·0.000(0.00%),▼-0.480(-48.48%)
2026-07-09,0.5,▼-0.010(-1.96%),▼-0.340(-40.48%)
2026-07-10,0.51,▲+0.010(+2.00%),▼-0.310(-37.80%)
2026-07-11,0.51,▲+0.010(+2.00%),▼-0.310(-37.80%)
2026-07-12,0.51,·0.000(0.00%),▼-0.260(-33.77%)
2026-07-13,0.51,·0.000(0.00%),▼-0.230(-31.08%)
2026-07-14,0.51,·0.000(0.00%),▼-0.220(-30.14%)
2026-07-15,0.5,▼-0.010(-1.96%),▼-0.190(-27.54%)
2026-07-16,0.5,▼-0.010(-1.96%),▼-0.190(-27.54%)
2026-07-17,0.5,·0.000(0.00%),▼-0.180(-26.47%)
2026-07-18,0.5,·0.000(0.00%),▼-0.110(-18.03%)
2026-07-19,0.5,·0.000(0.00%),▼-0.080(-13.79%)
2026-07-20,0.49,▼-0.010(-2.00%),▼-0.080(-14.04%)
