Date,Price,Day,30D
2026-07-07,1.04,▲+0.030(+2.97%),▼-0.040(-3.70%)
2026-07-08,1.03,▼-0.010(-0.96%),▼-0.040(-3.74%)
2026-07-09,1.02,▼-0.010(-0.97%),▼-0.070(-6.42%)
2026-07-10,1.01,▼-0.010(-0.98%),▼-0.070(-6.48%)
2026-07-11,1.01,▼-0.010(-0.98%),▼-0.070(-6.48%)
2026-07-12,1.04,▲+0.030(+2.97%),▼-0.050(-4.59%)
2026-07-13,1.03,▼-0.010(-0.96%),▼-0.040(-3.74%)
2026-07-14,1.03,▼-0.010(-0.96%),▼-0.040(-3.74%)
2026-07-15,1.04,▲+0.010(+0.97%),▼-0.010(-0.95%)
2026-07-16,1.04,▲+0.010(+0.97%),▼-0.010(-0.95%)
2026-07-17,1.02,▼-0.020(-1.92%),▼-0.020(-1.92%)
2026-07-18,0.99,▼-0.030(-2.94%),▼-0.070(-6.60%)
2026-07-19,1.01,▲+0.020(+2.02%),▼-0.050(-4.72%)
2026-07-20,1.02,▲+0.010(+0.99%),▼-0.030(-2.86%)
2026-07-21,1.04,▲+0.020(+1.96%),▲+0.020(+1.96%)
2026-07-22,1.03,▼-0.010(-0.96%),▲+0.010(+0.98%)
2026-07-23,1.06,▲+0.030(+2.91%),▲+0.040(+3.92%)
