Date,Price,Day,30D
2026-07-07,5.3,▲+0.080(+1.53%),▲+0.350(+7.07%)```
2026-07-08,5.74,▲+0.440(+8.30%),▲+1.080(+23.18%)```
2026-07-09,6.15,▲+0.410(+7.14%),▲+1.600(+35.16%)```
2026-07-10,6.69,▲+0.540(+8.78%),▲+1.900(+39.67%)```
2026-07-11,6.79,▲+0.100(+1.49%),▲+2.180(+47.29%)```
2026-07-12,6.75,▼-0.040(-0.59%),▲+2.200(+48.35%)```
2026-07-13,6.94,▲+0.190(+2.81%),▲+2.420(+53.54%)```
2026-07-14,7.28,▲+0.340(+4.90%),▲+2.750(+60.71%)```
2026-07-15,7.26,▼-0.020(-0.27%),▲+2.760(+61.33%)```
2026-07-16,7.25,▼-0.010(-0.14%),▲+2.870(+65.53%)```
2026-07-17,7.24,▼-0.010(-0.14%),▲+2.870(+65.68%)```
2026-07-18,7.16,▼-0.080(-1.10%),▲+2.940(+69.67%)```
2026-07-19,7.14,▼-0.020(-0.28%),▲+2.840(+66.05%)```
2026-07-20,7.12,▼-0.020(-0.28%),▲+2.840(+66.36%)```
2026-07-21,7.05,▼-0.070(-0.98%),▲+2.830(+67.06%)```
2026-07-22,6.9,▼-0.150(-2.13%),▲+2.610(+60.84%)```
2026-07-23,6.77,▼-0.130(-1.88%),▲+2.400(+54.92%)```
2026-07-24,6.78,▲+0.010(+0.15%),▲+2.340(+52.70%)```
2026-07-25,6.7,▼-0.080(-1.18%),▲+2.220(+49.55%)```
2026-07-27,6.5,▼-0.080(-1.22%),▲+2.080(+47.06%)```
2026-07-28,6.45,▼-0.050(-0.77%),▲+2.070(+47.26%)```
2026-07-29,6.44,▼-0.010(-0.16%),▲+2.030(+46.03%)```
2026-07-30,6.37,▼-0.070(-1.09%),▲+1.910(+42.83%)```
2026-07-31,6.41,▲+0.040(+0.63%),▲+1.260(+24.47%)```
2026-08-01,6.43,▲+0.020(+0.31%),▲+1.300(+25.34%)```
2026-08-02,6.33,▼-0.100(-1.56%),▲+1.190(+23.15%)```
2026-08-03,6.09,▼-0.240(-3.79%),▲+0.950(+18.48%)```
2026-08-04,5.96,▼-0.130(-2.13%),▲+0.820(+15.95%)```
2026-08-05,5.84,▼-0.120(-2.01%),▲+0.620(+11.88%)```
2026-08-06,5.75,▼-0.090(-1.54%),▲+0.450(+8.49%)```
2026-08-07,5.76,▲+0.010(+0.17%),▲+0.020(+0.35%)```
2026-08-08,5.73,▼-0.030(-0.52%),▼-0.420(-6.83%)```
2026-08-09,5.7,▼-0.030(-0.52%),▼-0.990(-14.80%)```
2026-08-10,5.68,▼-0.020(-0.35%),▼-1.110(-16.35%)```
2026-08-11,5.71,▲+0.030(+0.53%),▼-1.040(-15.41%)```
2026-08-12,5.72,▲+0.010(+0.18%),▼-1.220(-17.58%)```
2026-08-13,5.82,▲+0.100(+1.75%),▼-1.460(-20.05%)```
2026-08-14,6.0,▲+0.180(+3.09%),▼-1.260(-17.36%)```
2026-08-15,5.91,▼-0.090(-1.50%),▼-1.340(-18.48%)```
2026-08-16,5.93,▲+0.020(+0.34%),▼-1.310(-18.09%)```
2026-08-17,6.17,▲+0.240(+4.05%),▼-0.990(-13.83%)```
