Date,Price,Day,30D
2026-07-07,37.34,▲+0.20(+0.54%),▲+1.64(+4.59%)
2026-07-08,37.34,▲+0.20(+0.54%),▲+1.64(+4.59%)
2026-07-09,37.4,▲+0.06(+0.16%),▲+1.50(+4.18%)
2026-07-10,37.8,▲+0.40(+1.07%),▲+1.90(+5.29%)
2026-07-11,37.8,▲+0.40(+1.07%),▲+1.90(+5.29%)
2026-07-12,37.8,▲+0.40(+1.07%),▲+1.90(+5.29%)
2026-07-13,38.5,▲+0.70(+1.85%),▲+2.60(+7.24%)
2026-07-14,39.2,▲+0.70(+1.82%),▲+3.30(+9.19%)
2026-07-15,39.6,▲+0.40(+1.02%),▲+3.80(+10.61%)
2026-07-16,39.9,▲+0.30(+0.25%),▲+4.10(+11.45%)
2026-07-17,40.5,▲+0.60(+1.50%),▲+4.70(+13.13%)
2026-07-18,40.5,▲+0.60(+1.50%),▲+4.70(+13.13%)
2026-07-19,40.5,▲+0.60(+1.50%),▲+4.70(+13.13%)
2026-07-20,40.8,▲+0.30(+0.74%),▲+4.90(+13.65%)
2026-07-21,41.1,▲+0.30(+0.74%),▲+5.20(+14.48%)
2026-07-22,41.5,▲+0.40(+0.97%),▲+5.60(+15.60%)
2026-07-23,41.6,▲+0.10(+0.24%),▲+5.70(+15.88%)
2026-07-24,42.14,▲+0.54(+1.31%),▲+6.24(+17.39%)
2026-07-25,42.14,▲+0.54(+1.31%),▲+6.24(+17.39%)
2026-07-26,42.14,▲+0.54(+1.31%),▲+6.24(+17.39%)
2026-07-28,42.08,·0.00(0.00%),▲+6.08(+16.88%)
2026-07-29,42.04,▼-0.04(-0.09%),▲+6.04(+16.78%)
2026-07-30,42.13,▲+0.09(+0.21%),▲+6.13(+17.03%)
2026-07-31,42.11,▼-0.02(-0.04%),▲+6.01(+16.65%)
2026-08-01,42.11,▼-0.02(-0.04%),▲+6.01(+16.65%)
2026-08-02,42.11,▼-0.02(-0.04%),▲+6.01(+16.65%)
2026-08-03,42.11,·0.00(0.00%),▲+5.57(+15.25%)
2026-08-04,42.11,·0.00(0.00%),▲+5.57(+15.25%)
2026-08-05,42.11,·0.00(0.00%),▲+5.37(+14.62%)
2026-08-06,42.24,▲+0.12(+0.30%),▲+5.10(+13.72%)
2026-08-07,42.45,▲+0.21(+0.50%),▲+5.11(+13.69%)
2026-08-08,42.45,▲+0.21(+0.50%),▲+5.11(+13.69%)
2026-08-09,42.45,▲+0.21(+0.50%),▲+5.11(+13.69%)
2026-08-10,42.45,·0.00(0.00%),▲+4.65(+12.30%)
2026-08-11,42.5,▲+0.05(+0.13%),▲+4.70(+12.44%)
2026-08-12,42.61,▲+0.11(+0.25%),▲+4.11(+10.68%)
2026-08-13,42.61,·0.00(0.00%),▲+3.41(+8.70%)
2026-08-14,42.72,▲+0.11(+0.25%),▲+3.12(+7.87%)
2026-08-15,42.72,▲+0.11(+0.25%),▲+3.12(+7.87%)
2026-08-16,42.72,▲+0.11(+0.25%),▲+3.12(+7.87%)
2026-08-17,42.9,▲+0.18(+0.42%),▲+2.40(+5.91%)
2026-08-18,42.9,·0.00(0.00%),▲+2.40(+5.91%)
2026-08-19,43.07,▲+0.18(+0.42%),▲+2.27(+5.57%)
2026-08-20,43.14,▲+0.06(+0.15%),▲+2.04(+4.96%)
2026-08-21,43.29,▲+0.15(+0.35%),▲+1.79(+4.31%)
2026-08-22,43.29,▲+0.15(+0.35%),▲+1.79(+4.31%)
2026-08-23,43.29,▲+0.15(+0.35%),▲+1.79(+4.31%)
2026-08-24,43.29,·0.00(0.00%),▲+1.14(+2.72%)
2026-08-25,43.38,▲+0.09(+0.21%),▲+1.23(+2.93%)
