Date,Price,Day,30D
2026-07-07,4.18,▲+0.02(+0.48%),▼-0.57(-12.00%)
2026-07-08,4.18,▲+0.02(+0.48%),▼-0.57(-12.00%)
2026-07-09,4.2,▲+0.02(+0.48%),▼-0.53(-11.19%)
2026-07-10,4.21,▲+0.01(+0.33%),▼-0.49(-10.47%)
2026-07-11,4.21,▲+0.01(+0.33%),▼-0.49(-10.47%)
2026-07-12,4.21,▲+0.01(+0.33%),▼-0.49(-10.47%)
2026-07-13,4.21,·0.00(0.00%),▼-0.43(-9.24%)
2026-07-14,4.21,·0.00(0.00%),▼-0.43(-9.24%)
2026-07-15,4.21,·0.00(0.00%),▼-0.39(-8.39%)
2026-07-16,4.21,·0.00(0.00%),▼-0.30(-6.75%)
2026-07-17,4.21,·0.00(0.00%),▼-0.26(-5.85%)
2026-07-18,4.21,·0.00(0.00%),▼-0.26(-5.85%)
2026-07-19,4.21,·0.00(0.00%),▼-0.26(-5.85%)
2026-07-20,4.22,▲+0.00(+0.05%),▼-0.23(-5.26%)
2026-07-21,4.22,·0.00(0.00%),▼-0.23(-5.26%)
2026-07-22,4.22,·0.00(0.00%),▼-0.19(-4.33%)
2026-07-23,4.22,·0.00(0.00%),▼-0.19(-4.33%)
2026-07-24,4.22,·0.00(0.00%),▼-0.15(-3.39%)
2026-07-25,4.22,·0.00(0.00%),▼-0.15(-3.39%)
2026-07-26,4.22,·0.00(0.00%),▼-0.15(-3.39%)
2026-07-28,4.21,▼-0.00(-0.05%),▼-0.09(-2.05%)
2026-07-29,4.21,·0.00(0.00%),▼-0.07(-1.57%)
2026-07-30,4.21,▼-0.00(-0.05%),▼-0.05(-1.10%)
2026-07-31,4.21,·0.00(0.00%),▼-0.03(-0.61%)
2026-08-01,4.21,·0.00(0.00%),▼-0.03(-0.61%)
2026-08-02,4.21,·0.00(0.00%),▼-0.03(-0.61%)
2026-08-03,4.21,·0.00(0.00%),▲+0.04(+0.94%)
2026-08-04,4.21,▼-0.00(-0.05%),▲+0.04(+0.89%)
2026-08-05,4.21,·0.00(0.00%),▲+0.09(+2.28%)
2026-08-06,4.21,·0.00(0.00%),▲+0.05(+1.15%)
2026-08-07,4.21,·0.00(0.00%),▲+0.03(+0.67%)
