Date,Price,Day,30D
2026-07-07,4018.5,-,▲+105.36(+2.69%)
2026-07-08,4018.5,-,▲+105.36(+2.69%)
2026-07-09,4018.5,-,▲+105.36(+2.69%)
2026-07-10,4018.5,-,▲+105.36(+2.69%)
2026-07-11,4018.5,-,▲+105.36(+2.69%)
2026-07-12,4018.5,-,▲+105.36(+2.69%)
2026-07-13,4018.5,-,▲+105.36(+2.69%)
2026-07-14,4018.5,-,▲+105.36(+2.69%)
2026-07-15,4059.66,-,▲+114.61(+2.91%)
2026-07-16,4059.66,-,▲+114.61(+2.91%)
2026-07-17,4059.66,-,▲+114.61(+2.91%)
2026-07-18,4059.66,-,▲+114.61(+2.91%)
2026-07-19,4059.66,-,▲+114.61(+2.91%)
2026-07-20,4059.66,-,▲+114.61(+2.91%)
2026-07-21,4059.66,-,▲+114.61(+2.91%)
2026-07-22,4059.66,-,▲+85.53(+2.15%)
