Date,Price,Day,30D
2026-07-01,65.86,-,-
2026-07-02,60.63,▼5.23(-7.94%),-
2026-07-06,64.76,▲4.13(+6.81%),-
2026-07-07,60.59,▼4.17(-6.44%),-
2026-07-08,62.04,▲1.45(+2.39%),-
2026-07-09,64.36,▲2.32(+3.74%),-
2026-07-10,63.04,▼1.32(-2.05%),-
2026-07-13,57.3,▼5.74(-9.11%),-
2026-07-14,61.23,▲3.93(+6.86%),-
2026-07-15,57.4,▼3.83(-6.26%),-
2026-07-16,52.34,▼5.06(-8.82%),-
2026-07-17,52.72,▲0.38(+0.73%),-
2026-07-20,53.06,▲0.34(+0.64%),-
2026-07-21,58.85,▲5.79(+10.91%),-
2026-07-22,57.77,▼1.08(-1.84%),-
2026-07-23,58.3,▲0.53(+0.92%),-
