Date,Price,Day,30D
2026-07-07,4.01,▼-0.090(-2.20%),▼-0.700(-14.86%)
2026-07-08,4.1,▲+0.090(+2.24%),▼-0.500(-10.87%)
2026-07-09,4.21,▲+0.110(+2.68%),▲+0.080(+1.94%)
2026-07-10,4.27,▲+0.060(+1.43%),▲+0.480(+12.66%)
2026-07-11,4.47,▲+0.200(+4.68%),▲+0.670(+17.63%)
2026-07-12,4.39,▼-0.080(-1.79%),▲+0.610(+16.14%)
2026-07-13,4.39,▼-0.080(-1.79%),▲+0.610(+16.14%)
2026-07-14,4.36,▼-0.030(-0.68%),▲+0.790(+22.13%)
2026-07-15,4.62,▲+0.260(+5.96%),▲+1.030(+28.69%)
2026-07-16,4.77,▲+0.150(+3.25%),▲+1.170(+32.50%)
2026-07-17,4.79,▲+0.020(+0.42%),▲+1.280(+36.47%)
2026-07-18,4.78,▼-0.010(-0.21%),▲+1.310(+37.75%)
2026-07-19,4.9,▲+0.120(+2.51%),▲+1.400(+40.00%)
2026-07-20,4.99,▲+0.090(+1.84%),▲+1.530(+44.22%)
2026-07-21,4.96,▼-0.030(-0.60%),▲+1.530(+44.61%)
2026-07-22,4.84,▼-0.120(-2.42%),▲+1.400(+40.70%)
2026-07-23,4.66,▼-0.180(-3.72%),▲+1.280(+37.87%)
2026-07-24,4.55,▼-0.110(-2.36%),▲+1.200(+35.82%)
2026-07-25,4.55,·0.000(0.00%),▲+1.560(+52.17%)
2026-07-27,5.31,▲+0.450(+9.26%),▲+1.740(+48.74%)
2026-07-28,5.0,▼-0.310(-5.84%),▲+1.430(+40.06%)
2026-07-29,4.98,▼-0.020(-0.40%),▲+1.370(+37.95%)
2026-07-30,5.4,▲+0.420(+8.43%),▲+1.750(+47.95%)
