Date,Price,Day,30D
2026-07-07,11.0,·0.00(0.00%),▲+0.52(+4.96%)
2026-07-08,11.0,·0.00(0.00%),▲+0.52(+4.96%)
2026-07-09,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-10,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-11,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-12,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-13,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-14,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-15,11.0,·0.00(0.00%),▲+0.63(+6.05%)
2026-07-16,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-17,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-18,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-19,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-20,11.0,·0.00(0.00%),·0.00(0.00%)
2026-07-21,11.0,·0.00(0.00%),·0.00(0.00%)
