Date,Price,Day,30D
2026-07-07,2988.85,-,▼-25.53(-0.85%)```
2026-07-08,2988.85,-,▼-25.53(-0.85%)```
2026-07-09,2988.85,-,▼-25.53(-0.85%)```
2026-07-10,2988.85,-,▼-25.53(-0.85%)```
2026-07-11,2988.85,-,▼-25.53(-0.85%)```
2026-07-12,2988.85,-,▼-25.53(-0.85%)```
2026-07-13,2988.85,-,▼-25.53(-0.85%)```
2026-07-14,2988.85,-,▼-25.53(-0.85%)```
2026-07-15,2991.37,-,▼-23.01(-0.76%)```
2026-07-16,2991.37,-,▼-23.01(-0.76%)```
2026-07-17,2991.37,-,▼-23.01(-0.76%)```
2026-07-18,2991.37,-,▼-23.01(-0.76%)```
2026-07-19,2991.37,-,▼-23.01(-0.76%)```
2026-07-20,2991.37,-,▼-23.01(-0.76%)```
2026-07-21,2991.37,-,▼-23.01(-0.76%)```
2026-07-22,2988.98,-,▼-26.99(-0.89%)```
