Date,Price,Day,30D
2026-07-01,197.58,-,-
2026-07-02,194.83,▼2.75(-1.39%),-
2026-07-06,195.55,▲0.72(+0.37%),-
2026-07-07,196.93,▲1.38(+0.71%),-
2026-07-08,204.12,▲7.19(+3.65%),-
2026-07-09,202.78,▼1.34(-0.66%),-
2026-07-10,210.96,▲8.18(+4.03%),-
2026-07-13,203.53,▼7.43(-3.52%),-
2026-07-14,211.8,▲8.27(+4.06%),-
2026-07-15,212.5,▲0.70(+0.33%),-
2026-07-16,207.4,▼5.10(-2.40%),-
2026-07-17,202.81,▼4.59(-2.21%),-
2026-07-20,203.28,▲0.47(+0.23%),-
2026-07-21,207.29,▲4.01(+1.97%),-
2026-07-22,212.06,▲4.77(+2.30%),-
2026-07-23,208.76,▼3.30(-1.56%),-
