Date,Price,Day,30D
2026-07-07,485.0,·0.00(0.00%),▲+5.00(+1.04%)
2026-07-08,485.0,·0.00(0.00%),▲+5.00(+1.04%)
2026-07-09,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-10,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-11,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-12,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-13,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-14,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-15,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-16,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-17,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-18,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-19,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-20,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-21,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-22,485.0,·0.00(0.00%),·0.00(0.00%)
2026-07-23,485.0,·0.00(0.00%),·0.00(0.00%)
