Date,Price,Day,30D
2026-07-01,443.04,-,-
2026-07-02,433.0,▼10.04(-2.27%),-
2026-07-06,450.58,▲17.58(+4.06%),-
2026-07-07,431.41,▼19.17(-4.25%),-
2026-07-08,435.81,▲4.40(+1.02%),-
2026-07-09,435.79,▼0.02(-0.00%),-
2026-07-10,432.95,▼2.84(-0.65%),-
2026-07-13,420.45,▼12.50(-2.89%),-
2026-07-14,419.27,▼1.18(-0.28%),-
2026-07-15,418.36,▼0.91(-0.22%),-
2026-07-16,408.64,▼9.72(-2.32%),-
2026-07-17,397.3,▼11.34(-2.78%),-
2026-07-20,401.22,▲3.92(+0.99%),-
2026-07-21,423.47,▲22.25(+5.54%),-
2026-07-22,420.08,▼3.39(-0.80%),-
2026-07-23,414.47,▼5.61(-1.34%),-
2026-07-24,402.33,▼12.14(-2.93%),-
2026-07-27,398.02,▼4.31(-1.07%),-
2026-07-28,391.26,▼6.76(-1.70%),-
2026-07-29,373.67,▼17.59(-4.50%),-
2026-07-30,402.23,▲28.56(+7.64%),-
2026-07-31,403.17,▲0.94(+0.23%),-
2026-08-03,405.02,▲1.85(+0.46%),-
2026-08-04,416.05,▲11.03(+2.72%),-
2026-08-05,412.89,▼3.16(-0.76%),-
2026-08-06,417.08,▲4.19(+1.01%),-
2026-08-07,418.92,▲1.84(+0.44%),-
2026-08-10,417.35,▼1.57(-0.37%),-
2026-08-11,420.93,▲3.58(+0.86%),-
2026-08-12,428.0,▲7.07(+1.68%),-
2026-08-13,429.34,▲1.34(+0.31%),-
2026-08-14,425.21,▼4.13(-0.96%),-
2026-08-17,429.82,▲4.61(+1.08%),-
2026-08-18,412.3,▼17.52(-4.08%),-
2026-08-19,410.99,▼1.31(-0.32%),-
2026-08-20,414.89,▲3.90(+0.95%),-
2026-08-21,417.83,▲2.94(+0.71%),-
2026-08-24,409.02,▼8.81(-2.11%),-
2026-08-25,416.29,▲7.27(+1.78%),-
2026-08-26,416.57,▲0.28(+0.07%),-
2026-08-27,426.16,▲9.59(+2.30%),-
2026-08-28,416.4,▼9.76(-2.29%),-
2026-08-31,414.21,▼2.19(-0.53%),-
2026-09-01,412.89,▼1.32(-0.32%),-
2026-09-02,414.39,▲1.50(+0.36%),-
2026-09-03,415.89,▲1.50(+0.36%),-
2026-09-04,427.76,▲11.87(+2.85%),-
2026-09-08,437.83,▲10.07(+2.35%),-
2026-09-09,434.2,▼3.63(-0.83%),-
2026-09-10,426.88,▼7.32(-1.68%),-
2026-09-11,432.08,▲5.20(+1.22%),-
2026-09-14,416.89,▼15.19(-3.52%),-
2026-09-15,412.64,▼4.25(-1.02%),-
2026-09-16,417.72,▲5.08(+1.23%),-
2026-09-17,430.26,▲12.54(+3.00%),-
2026-09-18,434.67,▲4.41(+1.02%),-
2026-09-21,445.14,▲10.47(+2.41%),-
2026-09-22,452.0,▲6.86(+1.54%),-
2026-09-23,446.57,▼5.43(-1.20%),-
2026-09-24,,·nan(+nan%),-
